text,label
"I loved this movie, it was fantastic and had a great plot.",1
"Absolutely terrible. The plot made no sense and I hated it.",0
"A wonderful experience — the characters were compelling and the cinematography was beautiful.",1
"Boring and slow, I nearly fell asleep. Not recommended.",0
"An excellent film with a touching story and superb acting.",1
"The worst movie I've seen all year. A complete waste of time.",0
"I enjoyed every minute of it. Great direction and script.",1
"It was predictable and dull. Wouldn't watch again.",0
"A heartwarming story and great performances.",1
"Poorly written and poorly acted — just awful.",0
"Amazing soundtrack and fantastic pacing.",1
"Disappointing ending and weak characters.",0
"Brilliant writing and a moving finale.",1
"Too long and very slow, I didn't like it.",0
"One of the best films I've seen recently.",1
"Terrible dialogue and cringe-worthy scenes.",0
"Magnificent. The director did an outstanding job.",1
"I left halfway through, it was that bad.",0
"A beautiful, uplifting story.",1
"Save your money — this is not worth watching.",0
